Reference,Qty,Value,Footprint,Link,Fiyat
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16",16,200n 805,Capacitor_SMD:C_0805_2012Metric,Link,?0.45
C17,1,CL31B105KCHNNNE,CL31B105KCHNNNE:CAPC3216X180N,Link,?1.55
C18,1,0805 100pF +100VDC,0805 Capacitor:CAPC2012X94N,Link,?1.16
C20,1,0.1 uF,0805 Capacitor:CAPC2012X94N,Link,?0.46
C21,1,CL21B225KAFNNNE,0805 Capacitor:CAPC2012X94N,Link,?0.96
"C19,C22",2,100pf 805,0805 Capacitor:CAPC2012X94N,Link,?0.38
C23,1,0.47uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,Link,?0.46
"C24,C38",1,"10uF,0805",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,Link,?0.99
"C25,C26,C27,C28,C30,C32,C46",4,"100nf,0805",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,Link,?0.43
"C29,C31,C47,C48",1,"22pf,0805",0805 Capacitor:CAPC2012X94N,Link,?0.38
C33,1,3.3nF,Capacitor_THT:C_Disc_D10.5mm_W5.0mm_P5.00mm,Link,
"C34,C35",2,30pF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,Link,?0.51
C36,1,10pF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,Link,?1.02
C37,1,"4.7uF,0805",0805 Capacitor:CAPC2012X94N,Link,?0.77
"C43,C44",1,0805 1u,0805 Capacitor:CAPC2012X94N,Link,?0.33
C45,1,805 10n,0805 Capacitor:CAPC2012X94N,Link,?0.46
C49,1,"4.7uF,1210,100V",Capacitor_SMD:C_1210_3225Metric,Link,Stok Yok
D1,1,BAT46W-7-F,BAT46W-7-F:SOD3715X145N,Link,?2.48
D5,1,DFLS21007,SamacSys_Parts:DFLS21007,Link,?2.48
IC2,1,TPS73233DBVR,SOT95P280X145-5N,Link,?37.75
IC3,1,RAA2118054GP3#JA0,SamacSys_Parts:SOT95P280X110-5N,Link,
"J1,J2,J3",3,15EDGRC-3.81-06P-14-00A_H_,SamacSys_Parts:SHDRRA6W80P0X381_1X6_2365X920X754P,Link,
J4,1,DS1013-10SSIB1,Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical,Link,
J5,1,Screw_Terminal_01x04,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",Link,
"J6,J7",2,380-10-103-00-002000,HDRV3W51P0X254_1X3_762X254X470P,Link,
J8,1,K51-00A_H_,K5100AH,Link,
J9,1,K51-00A_H_,SamacSys_Parts:K5100AH,Link,
"J10,J11",2,380-10-103-00-002000,SamacSys_Parts:HDRV3W51P0X254_1X3_762X254X470P,Link,
L2,1,NRS4018T220MDGJ,SamacSys_Parts:NRS4018T220MDGJ,Link,
LED1,1,KP-2012SRC-PRV,SamacSys_Parts:LEDC2012X110N,Link,
PS2,1,1S4E_1505S1U,1S4E_0303S1U,Link,
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17",17,0805 20 Ohms 1%,SamacSys_Parts:RESC2012X70N,Link,
R18,1,0805 100 Ohms 1%,0805 Resistor:RES_ERA6AHD330V,Link,
"R19,R20",2,0805 100R 1%,0805 Resistor:RES_ERA6AHD330V,Link,
R21,1,BVS-A-R002-1.0,PSR400ITQFJ2L00:RESC10052X125N,Link,
R22,1,10k 0805,0805 Resistor:RES_ERA6AHD330V,Link,
R23,1,10K 805,0805 Resistor:RES_ERA6AHD330V,Link,
R24,1,"100R,0805",0805 Resistor:RES_ERA6AHD330V,Link,
R25,1,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Link,
R26,1,330R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Link,
R27,1,1M,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Link,
R28,1,"0805,1M,1%",0805 Resistor:RES_ERA6AHD330V,Link,
R29,1,"200R,0805",LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Link,
"R30,R37",2,60R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Link,
R31,1,1k 805,SamacSys_Parts:RESC2012X70N,Link,
R32,1,0R,SamacSys_Parts:RESC2012X70N,Link,
R35,1,4.7k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Link,
R36,1,100R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Link,
"S1,S2",2,DTS-62R-V,SamacSys_Parts:DTS62RV,Link,
U1,1,BQ76952PFBR,BQ76952PFBR:QFP50P900X900X120-48N,Link,
U2,1,REF3033,Package_TO_SOT_SMD:SOT-23,Link,
U3,1,STM32F103C8Tx,Package_QFP:LQFP-48_7x7mm_P0.5mm,Link,
U4,1,ISO1050DUB,Package_SO:SOP-8_6.62x9.15mm_P2.54mm,Link,
Y1,1,RH100-16.000-18-3050-TR,RH10016000183050TR,Link,
